"","fips","SCC","Pollutant","Emissions","type","year","summ"
"158","24510","223007225B","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"159","24510","223007225T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"160","24510","223007225X","PM25-PRI",0.98,"ON-ROAD","1999",7332966.73700002
"161","24510","223007227B","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"162","24510","223007227T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"163","24510","223007227X","PM25-PRI",1.25,"ON-ROAD","1999",7332966.73700002
"164","24510","223007229B","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"165","24510","223007229T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"166","24510","223007229X","PM25-PRI",1.03,"ON-ROAD","1999",7332966.73700002
"167","24510","223007231B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"168","24510","223007231T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"169","24510","223007231X","PM25-PRI",0.46,"ON-ROAD","1999",7332966.73700002
"170","24510","223007233B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"171","24510","223007233T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"172","24510","223007233X","PM25-PRI",0.43,"ON-ROAD","1999",7332966.73700002
"173","24510","223007323B","PM25-PRI",0.13,"ON-ROAD","1999",7332966.73700002
"174","24510","223007323T","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"175","24510","223007323X","PM25-PRI",11.44,"ON-ROAD","1999",7332966.73700002
"176","24510","223007325B","PM25-PRI",0.06,"ON-ROAD","1999",7332966.73700002
"177","24510","223007325T","PM25-PRI",0.04,"ON-ROAD","1999",7332966.73700002
"178","24510","223007325X","PM25-PRI",5.43,"ON-ROAD","1999",7332966.73700002
"179","24510","223007327B","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"180","24510","223007327T","PM25-PRI",0.05,"ON-ROAD","1999",7332966.73700002
"181","24510","223007327X","PM25-PRI",6.88,"ON-ROAD","1999",7332966.73700002
"182","24510","223007329B","PM25-PRI",0.07,"ON-ROAD","1999",7332966.73700002
"183","24510","223007329T","PM25-PRI",0.04,"ON-ROAD","1999",7332966.73700002
"184","24510","223007329X","PM25-PRI",5.67,"ON-ROAD","1999",7332966.73700002
"185","24510","223007331B","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"186","24510","223007331T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"187","24510","223007331X","PM25-PRI",2.54,"ON-ROAD","1999",7332966.73700002
"188","24510","223007333B","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"189","24510","223007333T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"190","24510","223007333X","PM25-PRI",2.37,"ON-ROAD","1999",7332966.73700002
"191","24510","223007423B","PM25-PRI",0.38,"ON-ROAD","1999",7332966.73700002
"192","24510","223007423T","PM25-PRI",0.64,"ON-ROAD","1999",7332966.73700002
"193","24510","223007423X","PM25-PRI",46.43,"ON-ROAD","1999",7332966.73700002
"194","24510","223007425B","PM25-PRI",0.18,"ON-ROAD","1999",7332966.73700002
"195","24510","223007425T","PM25-PRI",0.31,"ON-ROAD","1999",7332966.73700002
"196","24510","223007425X","PM25-PRI",22.05,"ON-ROAD","1999",7332966.73700002
"197","24510","223007427B","PM25-PRI",0.23,"ON-ROAD","1999",7332966.73700002
"198","24510","223007427T","PM25-PRI",0.39,"ON-ROAD","1999",7332966.73700002
"199","24510","223007427X","PM25-PRI",27.91,"ON-ROAD","1999",7332966.73700002
"200","24510","223007429B","PM25-PRI",0.19,"ON-ROAD","1999",7332966.73700002
"201","24510","223007429T","PM25-PRI",0.32,"ON-ROAD","1999",7332966.73700002
"202","24510","223007429X","PM25-PRI",23.03,"ON-ROAD","1999",7332966.73700002
"203","24510","223007431B","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"204","24510","223007431T","PM25-PRI",0.14,"ON-ROAD","1999",7332966.73700002
"205","24510","223007431X","PM25-PRI",10.33,"ON-ROAD","1999",7332966.73700002
"206","24510","223007433B","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"207","24510","223007433T","PM25-PRI",0.13,"ON-ROAD","1999",7332966.73700002
"208","24510","223007433X","PM25-PRI",9.61,"ON-ROAD","1999",7332966.73700002
"209","24510","223007523B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"210","24510","223007523T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"211","24510","223007523X","PM25-PRI",4.22,"ON-ROAD","1999",7332966.73700002
"212","24510","223007525B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"213","24510","223007525X","PM25-PRI",2,"ON-ROAD","1999",7332966.73700002
"214","24510","223007527B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"215","24510","223007527T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
